Freq [GHz],"dB(St(P1,P3)) []","dB(St(P1,P3))_2 []","dB(St(P1,P4))_4 []"
3.28,-26.6444,-20.4162,-40.320672
3.29,-26.3102,-20.2784,-40.412428
3.3,-25.9902,-20.1438,-40.38056
3.31,-25.70225,-20.01425,-40.341456
3.32,-25.4648,-19.8946,-40.281832
3.33,-25.3056,-19.7994,-40.227716
3.34,-25.1914,-19.7164,-40.185568
3.35,-25.1002,-19.6406,-40.1419
3.36,-25.0162,-19.5686,-40.09564
3.37,-24.9286,-19.4976,-40.042404
3.38,-24.82808333,-19.42408333,-39.979696
3.39,-24.72330769,-19.35238462,-39.9347
3.4,-24.61466667,-19.28216667,-39.909
3.41,-24.493,-19.208,-39.870696
3.42,-24.37530769,-19.14030769,-39.821352
3.43,-24.249,-19.06925,-39.782276
3.44,-24.119,-18.99758333,-39.750408
3.45,-23.992,-18.92884615,-39.72283
3.46,-23.872,-18.865,-39.697644
3.47,-23.74366667,-18.79916667,-39.657422
3.48,-23.622,-18.73768,-39.610648
3.49,-23.502,-18.67728,-39.599772
3.5,-23.38404,-18.61844,-39.6008
3.51,-23.27084,-18.56324,-39.582784
3.52,-23.15764,-18.50804,-39.560168
3.53,-23.04988,-18.457,-39.535784
3.54,-22.94348,-18.407,-39.511112
3.55,-22.83825,-18.358125,-39.5043
3.56,-22.73575,-18.311875,-39.49916
3.57,-22.63325,-18.265625,-39.513442
3.58,-22.5442,-18.228,-39.528504
3.59,-22.45664444,-18.19133333,-39.550092
3.6,-22.36908889,-18.15466667,-39.57
3.61,-22.28153333,-18.118,-39.57
3.62,-22.19966667,-18.08533333,-39.570952
3.63,-22.12633333,-18.05866667,-39.578148
3.64,-22.053,-18.032,-39.591104
3.65,-21.97966667,-18.00533333,-39.62914
3.66,-21.90633333,-17.97866667,-39.661844
3.67,-21.84438636,-17.96025,-39.677778
3.68,-21.78370455,-17.94275,-39.694472
3.69,-21.72302273,-17.92525,-39.712976
3.7,-21.66234091,-17.90775,-39.74336
3.71,-21.609,-17.895,-39.795788
3.72,-21.563,-17.887,-39.839688
3.73,-21.517,-17.879,-39.871042
3.74,-21.471,-17.871,-39.90098
3.75,-21.425,-17.863,-39.92925
3.76,-21.39211111,-17.86366667,-39.976792
3.77,-21.35922222,-17.86433333,-40.042584
3.78,-21.32633333,-17.865,-40.096404
3.79,-21.29344444,-17.86566667,-40.141122
3.8,-21.26643182,-17.87054545,-40.18104
3.81,-21.24529545,-17.87963636,-40.218048
3.82,-21.22415909,-17.88872727,-40.281852
3.83,-21.20302273,-17.89781818,-40.358438
3.84,-21.18317778,-17.90764444,-40.42036
3.85,-21.17495556,-17.92408889,-40.4769
3.86,-21.16673333,-17.94053333,-40.522936
3.87,-21.15851111,-17.95697778,-40.566112
3.88,-21.15028889,-17.97342222,-40.645576
3.89,-21.14886667,-17.99373333,-40.731928
3.9,-21.15197778,-18.01662222,-40.79942
3.91,-21.15508889,-18.03951111,-40.864698
3.92,-21.1582,-18.0624,-40.912896
3.93,-21.16222727,-18.08586364,-40.960364
3.94,-21.1745,-18.1145,-41.053912
3.95,-21.18677273,-18.14313636,-41.14617
3.96,-21.20395455,-18.17381818,-41.217616
3.97,-21.22168182,-18.20472727,-41.286452
3.98,-21.24282609,-18.23652174,-41.334768
3.99,-21.26543478,-18.26869565,-41.391426
4,-21.29063636,-18.30218182,-41.4896
4.01,-21.31972727,-18.33763636,-41.582644
4.02,-21.35,-18.37363636,-41.657688
4.03,-21.385,-18.41181818,-41.725632
4.04,-21.42,-18.45,-41.774976
4.05,-21.45826087,-18.4873913,-41.83979
4.06,-21.49652174,-18.52478261,-41.935908
4.07,-21.53981818,-18.56463636,-42.023512
4.08,-21.58527273,-18.60554545,-42.097528
4.09,-21.63322727,-18.64690909,-42.159566
4.1,-21.68368182,-18.68872727,-42.20634
4.11,-21.73577273,-18.73068182,-42.273942
4.12,-21.79168182,-18.77295455,-42.362864
4.13,-21.84782609,-18.81504348,-42.44107
4.14,-21.90608696,-18.85547826,-42.51046
4.15,-21.96434783,-18.89591304,-42.56156
4.16,-22.02872727,-18.93745455,-42.600624
4.17,-22.09463636,-18.97927273,-42.664362
4.18,-22.16354545,-19.02081818,-42.740948
4.19,-22.23445455,-19.06218182,-42.80509
4.2,-22.30569565,-19.10213043,-42.8642
4.21,-22.37743478,-19.13995652,-42.8977
4.22,-22.44995455,-19.17781818,-42.9234
4.23,-22.5295,-19.216,-42.97653
4.24,-22.60904545,-19.25418182,-43.03564
4.25,-22.69227273,-19.2895,-43.08125
4.26,-22.77590909,-19.3245,-43.12494
4.27,-22.85943478,-19.3566087,-43.134692
4.28,-22.94291304,-19.38747826,-43.141888
4.29,-23.02972727,-19.41654545,-43.166288
4.3,-23.12154545,-19.44290909,-43.19032
4.31,-23.21336364,-19.46927273,-43.198544
4.32,-23.30518182,-19.49563636,-43.207152
4.33,-23.397,-19.522,-43.219488
4.34,-23.49055556,-19.53866667,-43.229012
4.35,-23.58411111,-19.55533333,-43.22233
4.36,-23.67766667,-19.572,-43.215856
4.37,-23.77122222,-19.58866667,-43.210202
4.38,-23.86477778,-19.59955556,-43.200324
4.39,-23.95833333,-19.60466667,-43.178222
4.4,-24.05188889,-19.60977778,-43.15596
4.41,-24.14544444,-19.61488889,-43.133344
4.42,-24.239,-19.62,-43.105652
4.43,-24.32968182,-19.61272727,-43.069158
4.44,-24.42036364,-19.60545455,-43.031584
4.45,-24.51104545,-19.59818182,-42.99252
4.46,-24.60172727,-19.59090909,-42.948576
4.47,-24.6844,-19.57573333,-42.899232
4.48,-24.76173333,-19.55528889,-42.847984
4.49,-24.83906667,-19.53484444,-42.795042
4.5,-24.9164,-19.5144,-42.7379
4.51,-24.99182222,-19.49268889,-42.677762
4.52,-25.05004444,-19.45957778,-42.614672
4.53,-25.10826667,-19.42646667,-42.549908
4.54,-25.16648889,-19.39335556,-42.483364
4.55,-25.22471111,-19.36024444,-42.41603
4.56,-25.26722727,-19.31959091,-42.343704
4.57,-25.29927273,-19.27390909,-42.269688
4.58,-25.33131818,-19.22822727,-42.19732
4.59,-25.36336364,-19.18254545,-42.12536
4.6,-25.38873333,-19.13506667,-42.0468
4.61,-25.3874,-19.0804,-41.96713
4.62,-25.38606667,-19.02573333,-41.892608
4.63,-25.38473333,-18.97106667,-41.818592
4.64,-25.3834,-18.9164,-41.736144
4.65,-25.36327273,-18.85640909,-41.65357
4.66,-25.33509091,-18.79413636,-41.580068
4.67,-25.29882609,-18.73191304,-41.505844
4.68,-25.25447826,-18.66973913,-41.422576
4.69,-25.20636364,-18.60636364,-41.341024
4.7,-25.14318182,-18.53818182,-41.27112
4.71,-25.08,-18.47,-41.199054
4.72,-25.00045455,-18.40045455,-41.117328
4.73,-24.92090909,-18.33090909,-41.039628
4.74,-24.83009091,-18.25990909,-40.974864
4.75,-24.73645455,-18.18854545,-40.90515
4.76,-24.63847826,-18.11852174,-40.823424
4.77,-24.5376087,-18.0493913,-40.74686
4.78,-24.43209091,-17.97931818,-40.68004
4.79,-24.31572727,-17.90704545,-40.613426
4.8,-24.19859091,-17.83481818,-40.54712
4.81,-24.0745,-17.763,-40.483856
4.82,-23.95040909,-17.69118182,-40.424232
4.83,-23.83225,-17.6255,-40.36749
4.84,-23.70536364,-17.557,-40.31352
4.85,-23.57390909,-17.48754545,-40.26071
4.86,-23.44209091,-17.41936364,-40.208796
4.87,-23.31027273,-17.35245455,-40.159426
4.88,-23.17872727,-17.28636364,-40.111624
4.89,-23.05066667,-17.2225,-40.06659
4.9,-22.934,-17.165,-40.0229
4.91,-22.80945455,-17.105,-39.983698
4.92,-22.69063636,-17.04663636,-39.946176
4.93,-22.57609091,-16.98990909,-39.921518
4.94,-22.46754545,-16.93545455,-39.900444
4.95,-22.36554545,-16.88345455,-39.85959
4.96,-22.2735,-16.8355,-39.814872
4.97,-22.18781818,-16.79009091,-39.80084
4.98,-22.10163636,-16.74390909,-39.79056
4.99,-22.02,-16.69863636,-39.755494
5,-21.94,-16.655,-39.719
5.01,-21.86076923,-16.61269231,-39.718486
5.02,-21.78153846,-16.57146154,-39.7166
5.03,-21.704,-16.53242857,-39.6909
5.04,-21.629,-16.496,-39.668784
5.05,-21.54669231,-16.45830769,-39.67598
5.06,-21.468,-16.422,-39.67948
5.07,-21.38157143,-16.38585714,-39.66406
5.08,-21.29468,-16.34976,-39.655248
5.09,-21.21148,-16.31736,-39.670154
5.1,-21.12828,-16.28496,-39.6796
5.11,-21.04556,-16.25472,-39.67446
5.12,-20.96316,-16.22592,-39.678056
5.13,-20.88108,-16.19748,-39.699644
5.14,-20.80188,-16.17228,-39.714764
5.15,-20.72268,-16.14708,-39.71939
5.16,-20.64612,-16.12404,-39.73432
5.17,-20.57132,-16.10244,-39.76259
5.18,-20.49670833,-16.08116667,-39.783804
5.19,-20.42379167,-16.06283333,-39.797682
5.2,-20.350875,-16.0445,-39.82304
5.21,-20.28392,-16.02976,-39.857992
5.22,-20.21952,-16.01656,-39.885552
5.23,-20.15624,-16.00416,-39.908168
5.24,-20.09744,-15.99496,-39.949264
5.25,-20.03864,-15.98576,-40.00015
5.26,-19.98404,-15.97936,-40.046668
5.27,-19.93124,-15.97416,-40.091386
5.28,-19.87972,-15.96984,-40.118072
5.29,-19.83332,-15.96904,-40.139146
5.3,-19.78692,-15.96824,-40.1871
5.31,-19.74383333,-15.970625,-40.24107
5.32,-19.70216667,-15.974375,-40.296384
5.33,-19.6628,-15.97916,-40.351896
5.34,-19.6288,-15.98636,-40.385512
5.35,-19.5948,-15.99356,-40.41738
5.36,-19.56592,-16.00428,-40.47596
5.37,-19.53832,-16.01588,-40.535268
5.38,-19.51264,-16.02856,-40.600032
5.39,-19.49144,-16.04376,-40.66268
5.4,-19.47024,-16.05896,-40.7038
5.41,-19.45416,-16.07736,-40.747954
5.42,-19.43936,-16.09656,-40.810148
5.43,-19.42625,-16.117125,-40.87428
5.44,-19.41708333,-16.140875,-40.94624
5.45,-19.40791667,-16.164625,-41.01222
5.46,-19.40484,-16.19112,-41.060536
5.47,-19.40244,-16.21792,-41.113592
5.48,-19.40273333,-16.24613333,-41.177328
5.49,-19.40706667,-16.27646667,-41.246086
5.5,-19.4114,-16.3068,-41.3237
5.51,-19.4188,-16.3386,-41.390828
5.52,-19.4308,-16.3726,-41.443256
5.53,-19.4428,-16.4066,-41.500766
5.54,-19.458,-16.44272414,-41.563988
5.55,-19.478,-16.48203448,-41.63585
5.56,-19.498,-16.52134483,-41.71552
