Freq [GHz],"dB(St(P1,P4)) []","dB(St(P1,P4))_1 []","dB(St(P1,P4))_2 []","dB(St(P1,P4))_3 []","dB(St(P1,P4))_4 []"
9.466911765,-28.519,-29.068,-29.864,-28.822,-29.001
9.485294118,-28.522,-29.1,-29.922,-28.831,-29.016
9.503676471,-28.533,-29.137,-29.969,-28.838,-29.033
9.522058824,-28.545,-29.176,-30.008,-28.841,-29.048
9.540441176,-28.559,-29.225,-30.041,-28.839,-29.064
9.558823529,-28.573,-29.279,-30.071,-28.827,-29.08
9.577205882,-28.589,-29.325,-30.099,-28.803,-29.096
9.595588235,-28.604,-29.312,-30.125,-28.781,-29.113
9.613970588,-28.62,-29.242,-30.151,-28.798,-29.131
9.632352941,-28.637,-29.192,-30.176,-28.847,-29.149
9.650735294,-28.653,-29.177,-30.201,-28.895,-29.168
9.669117647,-28.671,-29.186,-30.227,-28.934,-29.188
9.6875,-28.689,-29.203,-30.254,-28.966,-29.209
9.705882353,-28.709,-29.225,-30.282,-28.995,-29.231
9.724264706,-28.731,-29.252,-30.313,-29.024,-29.253
9.742647059,-28.752,-29.276,-30.343,-29.051,-29.271
9.761029412,-28.776,-29.305,-30.377,-29.08,-29.287
9.779411765,-28.803,-29.336,-30.413,-29.112,-29.303
9.797794118,-28.829,-29.366,-30.45,-29.143,-29.323
9.816176471,-28.858,-29.398,-30.49,-29.176,-29.356
9.834558824,-28.891,-29.434,-30.535,-29.213,-29.397
9.852941176,-28.927,-29.472,-30.584,-29.252,-29.441
9.871323529,-28.966,-29.511,-30.638,-29.293,-29.485
9.889705882,-29.008,-29.553,-30.697,-29.337,-29.53
9.908088235,-29.055,-29.596,-30.76,-29.382,-29.575
9.926470588,-29.11,-29.642,-30.828,-29.43,-29.622
9.944852941,-29.207,-29.691,-30.896,-29.481,-29.672
9.963235294,-29.251,-29.742,-30.944,-29.534,-29.722
9.981617647,-29.215,-29.796,-30.934,-29.589,-29.774
10,-29.284,-29.852,-30.86,-29.646,-29.828
